Gender,Date Of Birth,Employee Type,Employment Status,Job Title,Company Name,Division,Area,Department,Seniority Date,Termination Date
Female,5/7/1975,Permanent Full Time,0,"Coordinator, Project",EllisDon Corporation,Enterprise Intelligence,Corporate-Head office,Operations,7/23/2018,
Male,9/18/1961,Intern,1,Administrative Assistant,EllisDon Construction Services Inc,Building Group,Halifax,Finance,7/21/2014,4/21/2017
Female,7/8/1977,Temporary Full Time,0,"Architect, Solutions",EllisDon Corporation,Energy & Digital Services,Calgary,Special Projects,2/8/2016,
Male,11/20/2000,Co-Op,0,Student,EllisDon Corporation,Finance,Ottawa,Health & Safety,9/3/2014,
Male,1/3/1997,Student,1,"Estimator, Lead",Golderado Contracting Corp.,Civil,Halifax,Enterprise Tech Relations,7/28/2014,12/16/2016
Male,10/15/1976,Temporary Full Time,0,"Project Manager, VDC",PME Inc.,Energy & Digital Services,Toronto,Operations,3/16/2015,
Female,6/29/1983,Intern,0,Superintendent,Silverado Site Services Limited,Building Group,Halifax,Building Services,5/1/2009,
Male,8/19/1980,Permanent Full Time,1,UX Designer,GateThree Inc,Enterprise Intelligence,Ottawa,Operations,10/2/2017,4/20/2018
Female,10/17/1959,Co-Op,0,"Coordinator, Health and Safety",EllisDon Construction Services Inc,Civil,Toronto,Operations,3/14/1994,
Female,5/12/1984,Permanent Full Time,0,"Accountant, Area",EllisDon Construction Services Inc,Civil,Edmonton,Building Services,5/12/2014,
Male,4/25/1993,Permanent Full Time,1,Field Engineer,EllisDon Corporation,Finance,Calgary,Finance,6/30/2009,10/4/2010
Female,5/7/1975,Permanent Full Time,0,"Coordinator, Project",EllisDon Corporation,Enterprise Intelligence,Corporate-Head office,Operations,7/23/2018,
Male,9/18/1961,Intern,1,Administrative Assistant,EllisDon Construction Services Inc,Building Group,Halifax,Finance,7/21/2014,4/21/2017
Female,7/8/1977,Temporary Full Time,0,"Architect, Solutions",EllisDon Corporation,Energy & Digital Services,Calgary,Special Projects,2/8/2016,
Male,11/20/2000,Co-Op,0,Student,EllisDon Corporation,Finance,Ottawa,Health & Safety,9/3/2014,
Male,1/3/1997,Student,1,"Estimator, Lead",Golderado Contracting Corp.,Civil,Halifax,Enterprise Tech Relations,7/28/2014,12/16/2016
Male,10/15/1976,Temporary Full Time,0,"Project Manager, VDC",PME Inc.,Energy & Digital Services,Toronto,Operations,3/16/2015,
Female,6/29/1983,Intern,0,Superintendent,Silverado Site Services Limited,Building Group,Halifax,Building Services,5/1/2009,
Male,8/19/1980,Permanent Full Time,1,UX Designer,GateThree Inc,Enterprise Intelligence,Ottawa,Operations,10/2/2017,4/20/2018
Female,10/17/1959,Co-Op,0,"Coordinator, Health and Safety",EllisDon Construction Services Inc,Civil,Toronto,Operations,3/14/1994,
Female,5/12/1984,Permanent Full Time,0,"Accountant, Area",EllisDon Construction Services Inc,Civil,Edmonton,Building Services,5/12/2014,
Male,4/25/1993,Permanent Full Time,1,Field Engineer,EllisDon Corporation,Finance,Calgary,Finance,6/30/2009,10/4/2010
Female,5/7/1975,Permanent Full Time,0,"Coordinator, Project",EllisDon Corporation,Enterprise Intelligence,Corporate-Head office,Operations,7/23/2018,
Male,9/18/1961,Intern,1,Administrative Assistant,EllisDon Construction Services Inc,Building Group,Halifax,Finance,7/21/2014,4/21/2017
Female,7/8/1977,Temporary Full Time,0,"Architect, Solutions",EllisDon Corporation,Energy & Digital Services,Calgary,Special Projects,2/8/2016,
Male,11/20/2000,Co-Op,0,Student,EllisDon Corporation,Finance,Ottawa,Health & Safety,9/3/2014,
Male,1/3/1997,Student,1,"Estimator, Lead",Golderado Contracting Corp.,Civil,Halifax,Enterprise Tech Relations,7/28/2014,12/16/2016
Male,10/15/1976,Temporary Full Time,0,"Project Manager, VDC",PME Inc.,Energy & Digital Services,Toronto,Operations,3/16/2015,
Female,6/29/1983,Intern,0,Superintendent,Silverado Site Services Limited,Building Group,Halifax,Building Services,5/1/2009,
Male,8/19/1980,Permanent Full Time,1,UX Designer,GateThree Inc,Enterprise Intelligence,Ottawa,Operations,10/2/2017,4/20/2018
Female,10/17/1959,Co-Op,0,"Coordinator, Health and Safety",EllisDon Construction Services Inc,Civil,Toronto,Operations,3/14/1994,
Female,5/12/1984,Permanent Full Time,0,"Accountant, Area",EllisDon Construction Services Inc,Civil,Edmonton,Building Services,5/12/2014,
Male,4/25/1993,Permanent Full Time,1,Field Engineer,EllisDon Corporation,Finance,Calgary,Finance,6/30/2009,10/4/2010
Female,5/7/1975,Permanent Full Time,0,"Coordinator, Project",EllisDon Corporation,Enterprise Intelligence,Corporate-Head office,Operations,7/23/2018,
Male,9/18/1961,Intern,1,Administrative Assistant,EllisDon Construction Services Inc,Building Group,Halifax,Finance,7/21/2014,4/21/2017
Female,7/8/1977,Temporary Full Time,0,"Architect, Solutions",EllisDon Corporation,Energy & Digital Services,Calgary,Special Projects,2/8/2016,
Male,11/20/2000,Co-Op,0,Student,EllisDon Corporation,Finance,Ottawa,Health & Safety,9/3/2014,
Male,1/3/1997,Student,1,"Estimator, Lead",Golderado Contracting Corp.,Civil,Halifax,Enterprise Tech Relations,7/28/2014,12/16/2016
Male,10/15/1976,Temporary Full Time,0,"Project Manager, VDC",PME Inc.,Energy & Digital Services,Toronto,Operations,3/16/2015,
Female,6/29/1983,Intern,0,Superintendent,Silverado Site Services Limited,Building Group,Halifax,Building Services,5/1/2009,
Male,8/19/1980,Permanent Full Time,1,UX Designer,GateThree Inc,Enterprise Intelligence,Ottawa,Operations,10/2/2017,4/20/2018
Female,10/17/1959,Co-Op,0,"Coordinator, Health and Safety",EllisDon Construction Services Inc,Civil,Toronto,Operations,3/14/1994,
Female,5/12/1984,Permanent Full Time,0,"Accountant, Area",EllisDon Construction Services Inc,Civil,Edmonton,Building Services,5/12/2014,
Male,4/25/1993,Permanent Full Time,1,Field Engineer,EllisDon Corporation,Finance,Calgary,Finance,6/30/2009,10/4/2010
Female,5/7/1975,Permanent Full Time,0,"Coordinator, Project",EllisDon Corporation,Enterprise Intelligence,Corporate-Head office,Operations,7/23/2018,
Male,9/18/1961,Intern,1,Administrative Assistant,EllisDon Construction Services Inc,Building Group,Halifax,Finance,7/21/2014,4/21/2017
Female,7/8/1977,Temporary Full Time,0,"Architect, Solutions",EllisDon Corporation,Energy & Digital Services,Calgary,Special Projects,2/8/2016,
Male,11/20/2000,Co-Op,0,Student,EllisDon Corporation,Finance,Ottawa,Health & Safety,9/3/2014,
Male,1/3/1997,Student,1,"Estimator, Lead",Golderado Contracting Corp.,Civil,Halifax,Enterprise Tech Relations,7/28/2014,12/16/2016
Male,10/15/1976,Temporary Full Time,0,"Project Manager, VDC",PME Inc.,Energy & Digital Services,Toronto,Operations,3/16/2015,
Female,6/29/1983,Intern,0,Superintendent,Silverado Site Services Limited,Building Group,Halifax,Building Services,5/1/2009,
Male,8/19/1980,Permanent Full Time,1,UX Designer,GateThree Inc,Enterprise Intelligence,Ottawa,Operations,10/2/2017,4/20/2018
Female,10/17/1959,Co-Op,0,"Coordinator, Health and Safety",EllisDon Construction Services Inc,Civil,Toronto,Operations,3/14/1994,
Female,5/12/1984,Permanent Full Time,0,"Accountant, Area",EllisDon Construction Services Inc,Civil,Edmonton,Building Services,5/12/2014,
Male,4/25/1993,Permanent Full Time,1,Field Engineer,EllisDon Corporation,Finance,Calgary,Finance,6/30/2009,10/4/2010
Female,5/7/1975,Permanent Full Time,0,"Coordinator, Project",EllisDon Corporation,Enterprise Intelligence,Corporate-Head office,Operations,7/23/2018,
Male,9/18/1961,Intern,1,Administrative Assistant,EllisDon Construction Services Inc,Building Group,Halifax,Finance,7/21/2014,4/21/2017
Female,7/8/1977,Temporary Full Time,0,"Architect, Solutions",EllisDon Corporation,Energy & Digital Services,Calgary,Special Projects,2/8/2016,
Male,11/20/2000,Co-Op,0,Student,EllisDon Corporation,Finance,Ottawa,Health & Safety,9/3/2014,
